labels,count
-1.0,22730
0.0,394
1.0,763
2.0,1228
3.0,477
4.0,1331
5.0,1420
6.0,695
7.0,276
8.0,575
9.0,941
10.0,300
11.0,621
12.0,813
13.0,1767
14.0,736
15.0,340
16.0,6789
17.0,1852
18.0,356
19.0,3487
20.0,651
21.0,1562
22.0,1318
23.0,350
24.0,434
25.0,821
26.0,580
27.0,457
28.0,1016
29.0,741
30.0,299
31.0,759
32.0,2194
33.0,766
34.0,297
35.0,725
36.0,1255
37.0,291
38.0,455
39.0,783
40.0,4707
41.0,441
42.0,634
43.0,333
44.0,1628
45.0,463
46.0,487
47.0,700
48.0,288
49.0,346
50.0,1199
51.0,312
52.0,1118
53.0,420
54.0,24174
55.0,790
56.0,2568
